time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Fri Mar 15 17:48:25 2024,0,132,[Range],69.5,2.4,-45,-2.16,0,b4w,141
Fri Mar 15 17:49:00 2024,0,135,[Range],69.9,-3.2,-43.2,0,1,b4w,1
Fri Mar 15 17:49:40 2024,0,133,[Range],69.5,2.4,-46.08,-2.88,0,b4w,27
Fri Mar 15 17:49:40 2024,0,138,[Range],69.4,2.4,-47.52,0,0,b4w,3
Fri Mar 15 17:49:50 2024,0,137,[Range],69.8,-0.6,-21.24,-0.36,1,b4w,22
Fri Mar 15 17:50:02 2024,0,143,[Range],69.1,2.6,-61.2,-3.24,0,b4w,25
Fri Mar 15 17:52:26 2024,0,153,[Range],69.8,-3.1,-29.16,-1.08,1,b4w,16
Fri Mar 15 17:53:18 2024,0,162,[Range],69.8,3,-64.44,0,0,b4w,48
Fri Mar 15 17:53:19 2024,0,161,[Range],69.2,1.4,-65.88,0,0,b4w,3
Fri Mar 15 17:54:10 2024,0,176,[Range],69.400,-0.600,-43.200,-1.080,1,b4w,24.000
Fri Mar 15 17:54:11 2024,0,159,[Range],69.400,-1.300,-44.280,0.000,1,b4w,3.000
Fri Mar 15 18:33:02 2024,0,115,[Range],69.500,-1.100,-46.440,-2.160,1,b4w,17.000
Fri Mar 15 18:33:03 2024,0,113,[Range],69.600,-0.100,-46.080,-1.440,1,b4w,16.000
Fri Mar 15 18:33:24 2024,0,123,[Speed],56.800,-1.200,-83.160,0.000,1,b4w,4.000
Fri Mar 15 18:33:43 2024,0,97,[Range],69.300,-0.100,-69.480,-1.080,1,b4w,29.000
Fri Mar 15 18:33:48 2024,0,100,[Range],69.800,0.000,-69.480,0.000,1,b4w,25.000
Fri Mar 15 18:34:46 2024,0,122,[Range],69.400,-0.400,-51.840,-0.720,1,b4w,17.000
Fri Mar 15 18:35:26 2024,0,132,[Range],69.000,0.300,-78.120,0.000,1,b4w,3.000
Fri Mar 15 18:35:50 2024,0,126,[Range],69.300,3.100,-56.520,-0.360,0,b4w,25.000
Fri Mar 15 18:36:02 2024,0,136,[Range],69.500,-1.700,-46.080,0.000,1,b4w,22.000
Fri Mar 15 18:36:14 2024,0,135,[Range],69.800,3.000,-78.480,0.000,0,b4w,17.000
Fri Mar 15 18:36:22 2024,0,131,[Range],69.700,2.700,-52.920,-2.520,0,b4w,24.000
Fri Mar 15 18:36:31 2024,0,134,[Range],69.500,-2.800,-35.640,1.800,1,b4w,24.000
Fri Mar 15 18:36:57 2024,0,133,[Speed],51.400,-1.800,-81.720,0.000,1,b4w,1.000
Fri Mar 15 18:37:00 2024,0,137,[Speed],54.100,-1.300,-81.360,0.000,1,b4w,4.000
Fri Mar 15 18:37:01 2024,0,140,[Speed],47.000,-0.600,-83.160,0.000,1,b4w,5.000
Fri Mar 15 18:37:29 2024,0,145,[Range],69.600,0.000,-72.000,0.000,1,b4w,5.000
Fri Mar 15 18:37:53 2024,0,144,[Range],69.700,-1.400,-61.200,0.000,1,b4w,4.000
Fri Mar 15 18:38:10 2024,0,146,[Range],69.500,2.400,-40.320,-2.880,0,b4w,34.000
Fri Mar 15 18:39:23 2024,0,153,[Range],69.200,2.800,-76.320,-0.360,0,b4w,8.000
Fri Mar 15 18:39:39 2024,0,149,[Range],69.700,1.800,-40.680,-3.600,0,b4w,23.000
Fri Mar 15 18:40:04 2024,0,155,[Range],69.600,2.400,-45.360,-2.880,0,b4w,36.000
Fri Mar 15 18:42:13 2024,0,161,[Range],69.800,-0.200,-77.760,0.000,1,b4w,15.000
Fri Mar 15 18:42:48 2024,0,162,[Range],69.400,2.900,-61.920,-0.360,0,b4w,31.000
Fri Mar 15 18:43:10 2024,0,152,[Range],69.500,-0.600,-33.120,-2.160,1,b4w,22.000
Fri Mar 15 18:43:37 2024,0,174,[Range],69.400,2.400,-46.080,-2.520,0,b4w,26.000
Fri Mar 15 18:44:03 2024,0,176,[Range],69.500,-1.000,-34.200,-2.160,1,b4w,29.000
Fri Mar 15 18:44:03 2024,0,159,[Range],69.800,0.000,-34.200,0.000,1,b4w,10.000
Fri Mar 15 18:44:15 2024,0,163,[Speed],78.800,0.400,-82.800,0.000,1,b4w,7.000
Fri Mar 15 18:44:15 2024,0,163,[Range],69.600,0.100,-82.800,0.000,1,b4w,5.000
Fri Mar 15 18:44:29 2024,0,165,[Range],69.600,-0.400,-70.560,0.000,1,b4w,7.000
Fri Mar 15 18:44:57 2024,0,160,[Range],69.500,2.700,-74.880,-0.360,0,b4w,30.000
Fri Mar 15 18:45:23 2024,0,169,[Range],69.800,-1.400,-55.080,0.000,1,b4w,1.000
Fri Mar 15 18:45:45 2024,0,170,[Range],69.900,-4.600,-28.080,0.000,1,b4w,1.000
Fri Mar 15 18:46:16 2024,0,178,[Range],69.100,2.900,-73.800,-0.360,0,b4w,25.000
Fri Mar 15 18:46:18 2024,0,177,[Range],69.500,-1.000,-42.840,-1.440,1,b4w,24.000
Fri Mar 15 18:46:50 2024,0,166,[Range],69.500,-4.100,-34.200,0.000,1,b4w,1.000
Fri Mar 15 18:47:09 2024,0,180,[Range],69.400,-0.200,-47.880,-0.720,1,b4w,5.000
Fri Mar 15 18:47:13 2024,0,171,[Range],69.200,2.400,-69.120,-0.360,0,b4w,5.000
Fri Mar 15 18:47:30 2024,0,167,[Range],69.800,-3.500,-48.240,0.360,1,b4w,4.000
Fri Mar 15 18:48:03 2024,0,168,[Range],69.900,-0.300,-65.880,-0.360,1,b4w,10.000
Fri Mar 15 18:48:08 2024,0,179,[Range],69.700,2.100,-62.280,-0.720,0,b4w,34.000
Fri Mar 15 18:48:26 2024,0,164,[Range],69.100,0.000,-75.240,0.000,1,b4w,4.000
Fri Mar 15 18:48:37 2024,0,182,[Range],68.900,0.200,-76.680,0.000,1,b4w,4.000
Fri Mar 15 18:49:11 2024,0,175,[Range],69.500,2.500,-38.880,-2.520,0,b4w,32.000
Fri Mar 15 18:49:45 2024,0,184,[Range],69.900,2.200,-72.360,-2.520,0,b4w,63.000
Fri Mar 15 18:49:46 2024,0,187,[Range],69.300,1.800,-74.520,0.000,0,b4w,0.000
Fri Mar 15 18:49:58 2024,0,185,[Range],69.600,-0.300,-64.080,-2.160,1,b4w,49.000
Fri Mar 15 18:50:12 2024,0,192,[Range],69.600,0.000,-68.400,-1.080,1,b4w,79.000
Fri Mar 15 18:50:17 2024,0,183,[Range],69.700,-0.900,-42.840,0.000,1,b4w,5.000
Fri Mar 15 18:50:27 2024,0,191,[Range],69.600,-1.700,-55.440,0.000,1,b4w,2.000
Fri Mar 15 18:50:28 2024,0,181,[Range],69.700,2.900,-43.920,0.000,0,b4w,22.000
Fri Mar 15 18:50:29 2024,0,196,[Range],69.600,2.100,-43.920,0.000,0,b4w,31.000
Fri Mar 15 18:50:31 2024,0,198,[Range],69.800,-0.100,-73.800,0.000,1,b4w,6.000
Fri Mar 15 18:50:42 2024,0,193,[Range],69.800,3.000,-63.000,-0.360,0,b4w,6.000
Fri Mar 15 18:50:52 2024,0,194,[Range],69.800,0.000,-57.240,-1.800,1,b4w,22.000
Fri Mar 15 18:51:20 2024,0,195,[Range],69.900,-3.700,-33.480,0.000,1,b4w,0.000
Fri Mar 15 18:51:35 2024,0,188,[Range],69.900,-3.200,-46.800,0.000,1,b4w,1.000
Fri Mar 15 18:52:54 2024,0,199,[Range],69.600,-3.900,-30.240,-1.080,1,b4w,18.000
Fri Mar 15 18:53:05 2024,0,204,[Range],69.900,-4.500,-27.360,-0.360,1,b4w,32.000
Fri Mar 15 18:53:10 2024,0,210,[Range],69.800,3.000,-56.160,-1.080,0,b4w,16.000
Fri Mar 15 18:53:59 2024,0,209,[Range],69.800,2.400,-77.400,-0.360,0,b4w,49.000
Fri Mar 15 18:54:50 2024,0,205,[Range],69.600,2.500,-51.840,-2.160,0,b4w,25.000
Fri Mar 15 18:54:53 2024,0,213,[Range],69.600,-0.400,-62.280,0.000,1,b4w,5.000
Fri Mar 15 18:55:00 2024,0,206,[Range],69.800,-0.600,-35.640,-1.440,1,b4w,22.000
Fri Mar 15 18:55:41 2024,0,214,[Range],69.800,-0.400,-64.080,0.000,1,b4w,3.000
Fri Mar 15 18:55:49 2024,0,212,[Range],69.800,2.800,-45.720,-1.800,0,b4w,19.000
Fri Mar 15 18:55:50 2024,0,201,[Range],69.700,-0.400,-66.600,-0.360,1,b4w,4.000
Fri Mar 15 18:55:58 2024,0,219,[Range],69.700,-0.600,-46.080,-1.800,1,b4w,23.000
Fri Mar 15 18:56:08 2024,0,226,[Range],69.900,0.500,-75.240,0.000,0,b4w,25.000
Fri Mar 15 18:56:53 2024,0,221,[Range],69.400,0.800,-77.400,0.000,0,b4w,4.000
Fri Mar 15 18:56:55 2024,0,211,[Range],69.700,2.300,-42.480,-2.880,0,b4w,21.000
Fri Mar 15 18:57:02 2024,0,218,[Range],69.300,-0.400,-62.280,-0.360,1,b4w,4.000
Fri Mar 15 18:57:22 2024,0,223,[Range],69.600,-2.000,-36.720,0.000,1,b4w,3.000
Fri Mar 15 18:57:37 2024,0,243,[Range],69.400,-0.700,-45.000,-1.080,1,b4w,16.000
Fri Mar 15 18:57:47 2024,0,227,[Range],69.600,2.900,-56.520,-0.720,0,b4w,19.000
