time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Sun Mar 17 11:31:26 2024,0,74,[Range],69.800,-2.200,-43.200,0.000,1,b4w,2.000
Sun Mar 17 11:31:38 2024,0,77,[Range],69.800,2.400,-61.920,-0.360,0,b4w,11.000
Sun Mar 17 11:31:40 2024,0,82,[Range],69.500,-1.400,-37.080,0.000,1,b4w,16.000
Sun Mar 17 11:33:21 2024,0,75,[Range],69.500,-1.800,-46.440,0.000,1,b4w,0.000
Sun Mar 17 11:33:28 2024,0,81,[Range],69.300,-0.700,-50.760,-1.440,1,b4w,15.000
Sun Mar 17 11:33:40 2024,0,76,[Range],69.900,-0.900,-41.760,-1.080,1,b4w,53.000
Sun Mar 17 11:34:18 2024,0,79,[Range],69.500,-1.300,-48.600,0.000,1,b4w,25.000
Sun Mar 17 11:34:31 2024,0,86,[Range],69.800,-1.500,-63.720,0.000,1,b4w,2.000
Sun Mar 17 11:34:56 2024,0,83,[Range],69.500,2.700,-73.440,-1.440,0,b4w,7.000
Sun Mar 17 11:35:05 2024,0,84,[Range],69.600,-1.000,-49.680,-0.360,1,b4w,13.000
Sun Mar 17 11:35:16 2024,0,85,[Range],69.600,-0.100,-63.720,-0.360,1,b4w,29.000
Sun Mar 17 11:36:05 2024,0,89,[Range],69.400,-2.000,-50.760,0.000,1,b4w,6.000
Sun Mar 17 11:36:08 2024,0,92,[Range],69.500,-0.400,-42.120,-2.520,1,b4w,47.000
Sun Mar 17 11:36:14 2024,0,94,[Range],69.300,1.600,-78.120,0.000,0,b4w,20.000
Sun Mar 17 11:36:16 2024,0,91,[Range],69.500,3.000,-68.760,-0.360,0,b4w,25.000
Sun Mar 17 11:36:17 2024,0,97,[Range],69.600,3.100,-69.120,0.000,0,b4w,0.000
Sun Mar 17 11:36:20 2024,0,98,[Range],69.500,0.100,-77.040,0.000,1,b4w,10.000
Sun Mar 17 11:36:38 2024,0,101,[Range],69.500,-3.900,-33.480,0.000,1,b4w,1.000
Sun Mar 17 11:37:45 2024,0,96,[Range],69.800,-4.300,-39.960,0.000,1,b4w,3.000
Sun Mar 17 11:38:08 2024,0,102,[Range],69.600,-4.800,-42.480,0.000,1,b4w,0.000
Sun Mar 17 11:38:15 2024,0,104,[Range],69.900,-1.900,-36.360,0.000,1,b4w,2.000
Sun Mar 17 11:38:28 2024,0,108,[Range],69.300,-0.800,-47.160,-0.360,1,b4w,3.000
Sun Mar 17 11:38:30 2024,0,107,[Range],69.700,1.500,-58.680,0.000,0,b4w,23.000
Sun Mar 17 11:38:31 2024,0,110,[Range],69.500,0.600,-60.120,0.000,0,b4w,6.000
Sun Mar 17 11:39:14 2024,0,112,[Range],69.100,-0.300,-78.840,0.000,1,b4w,4.000
Sun Mar 17 11:39:51 2024,0,114,[Range],69.300,2.200,-82.080,0.000,0,b4w,6.000
Sun Mar 17 11:40:17 2024,0,113,[Range],69.800,-2.900,-45.000,0.000,1,b4w,0.000
